IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
4;1996;428179;774270;288345;37;5536105
4;1995;144277;841317;253358;12;4453744
14;1996;186337;168836;74302;13;2633228
14;2007;1212283;1023157;394141;54;23856497
14;1994;221181;621917;293602;31;5061621
14;2003;68549;0;0;1;429866
4;1996;1053568;1365692;640092;23;38129133
4;1998;440043;395616;117141;22;8124055
5;1993;399885;429313;176289;11;7653979
14;1999;701228;1127416;296607;32;13824184
12;2008;166345;15018;6663;8;1644291
4;2008;63715;107956;36529;10;1809815
14;1992;512953;455641;202950;22;3315347
14;1997;478471;1068503;431897;35;12009614
14;2010;219643;339259;106806;27;3459914
14;2003;174218;264566;117925;13;1136956
14;2002;836323;390305;145569;25;10011017
5;2009;329241;290410;112116;27;4473260
14;2010;151964;867615;250652;11;17586254
4;2002;155448;111519;49068;8;2755078
14;2012;604353;1177195;439614;35;14611072
14;1998;85659;154148;49686;13;5990197
14;2009;806655;431888;170456;36;12618749
14;2000;355073;79533;57632;4;7220577
4;2002;475224;209733;81159;25;8753601
14;2010;577250;490883;246388;37;10601134
5;2002;226332;347610;137240;33;4823602
5;2003;128275;123810;74956;13;3820483
14;2007;2131672;773230;342791;58;66523510
4;1990;645990;623906;258629;46;13808634
14;2000;596708;824018;373537;62;16442133
4;1985;142281;174591;57478;11;2031108
14;1996;339682;761003;366486;37;4450819
14;2006;5537627;1633535;591199;65;109993682
4;2009;355803;383392;162024;26;2726301
14;2001;360338;541084;188992;27;11336110
4;1998;325128;255393;87042;16;9817651
14;1998;803047;590150;193532;30;11108089
14;1983;266735;176633;79778;9;4740916
14;1984;161853;167264;76005;10;2909352
14;1986;296412;445033;201613;19;14160007
5;1997;367408;1173831;735698;31;9906464
5;2006;1040303;587134;259079;30;16361841
14;2000;354775;674838;376718;28;20069415
14;1996;967097;503466;200266;30;10173329
14;2005;723367;249258;112880;17;2900226
14;2011;105633;378541;115933;22;3313885
14;2006;259862;314004;113981;10;3781784
5;1992;1580864;2320924;975102;33;14276373
14;1996;257383;355718;128394;10;5105547
5;2003;500481;219621;108391;13;10234572
5;2006;2356868;725243;306848;18;1138118128
14;2010;16727;0;0;1;1344083
14;2003;1230970;368329;147157;34;10528133
12;1996;343501;158228;82558;11;4372276
14;1972;184358;485713;262660;14;6082279
14;1984;121874;262733;100890;9;2163002
7;2008;2312717;1067777;252073;17;6627010
14;1990;193100;157850;56143;9;1720685
4;1987;269228;206478;90160;18;3270274
4;2008;1995650;483540;258460;10;6211289
14;2002;1395013;153293;74895;16;5295001
14;1998;305451;381297;169759;24;4715883
14;2003;354688;205962;106647;14;3475564
14;2001;1015487;744240;312010;27;22433181
14;1988;823293;880318;382218;22;22033508
5;2004;291638;427342;191333;19;4510511
14;2008;399004;121837;56825;11;6402942
5;2007;218433;93111;35056;10;10074380
14;2006;286289;432311;205038;27;17526732
14;2007;621831;730239;300414;21;16083235
14;2005;671600;231527;105136;12;8592121
5;1999;1382319;866910;413807;27;13090896
14;1994;506444;374310;150621;14;8754662
14;2006;1379801;990330;335797;43;81523429
14;1993;149527;436765;176942;19;7703531
2;1972;597333;1027810;502190;14;11217099
14;1999;273791;354261;183742;10;1248198
5;1999;1425831;1233980;594870;74;57361683
14;2011;305750;274921;117219;22;8539184
14;2010;558920;1050377;401955;58;12271134
14;2011;352541;718470;269467;45;18230059
14;2011;688588;341921;189024;17;13186336
14;2011;277970;262473;106279;17;7890259
14;2011;3765800;999931;324888;108;44836571
14;2011;120611;73320;32402;3;4878196
14;2010;666297;248937;109475;15;10729081
14;2010;1406044;787754;294569;55;23828540
14;2012;648431;624543;300232;42;9679287
14;2012;692659;669726;241805;45;14040095
14;2013;4774458;2264109;949271;136;169986352
4;2004;145497;124441;44552;12;4501263
14;1983;438896;235701;68455;13;8644459
14;1981;515783;177562;62259;12;19688509
14;1991;906163;1477965;495769;113;17047426
14;2011;139624;295377;100834;26;6836078
14;2003;3620018;542097;185876;29;39973479
5;2001;26005;77132;28297;6;3272430
4;2006;383349;159822;69700;13;10379805
4;2008;361100;610860;381568;20;6559978
4;2005;374415;235624;101440;20;6150321
